8,work,0.137,received,0.164,bartlett,0.152,internationalization,0.173,market,0.139,resource,0.129,location,0.141,international,0.131,announced,0.137,social,0.172,centric,0.165,investment,0.147,perceived,0.15,government,0.149,firm,0.119,bhagat,0.139,production,0.161,talent,0.118,construct,0.132,strategic,0.134,inter,0.201,seeking,0.111
9,financial,0.129,recipient,0.164,ghoshal,0.152,shaped,0.17,government,0.138,management,0.116,challenge,0.129,experience,0.13,duration,0.137,early,0.171,model,0.15,asset,0.144,firm,0.129,economy,0.139,market,0.105,breaking,0.139,foreign,0.158,role,0.116,within,0.132,global,0.127,mnc,0.201,contributor,0.104
10,proposition,0.129,stage,0.156,enterprise,0.146,firm,0.16,buckley,0.129,consistency,0.115,international,0.127,parent,0.13,difference,0.123,smes,0.151,equity,0.145,developed,0.134,distance,0.128,business,0.132,based,0.102,buchan,0.139,emphasized,0.127,abroad,0.104,enterprise,0.125,cooperation,0.119,unit,0.171,intra,0.104
11,human,0.119,system,0.156,strategic,0.143,measuring,0.154,multinational,0.121,isomorphism,0.115,market,0.12,relationship,0.125,formal,0.121,network,0.142,whether,0.131,developing,0.129,evaluation,0.125,resource,0.123,meta,0.101,characterizing,0.139,encompassing,0.127,management,0.104,mnes,0.124,correctly,0.119,corporation,0.16,rent,0.104
12,performance,0.116,determinant,0.147,dynamic,0.138,negative,0.154,international,0.11,nohria,0.115,research,0.12,cross,0.12,informal,0.121,entrepreneurial,0.138,mode,0.112,expansion,0.12,sequence,0.125,fdi,0.119,joint,0.098,erez,0.139,extends,0.127,issue,0.099,international,0.113,dynamically,0.119,management,0.127,specialized,0.104
13,find,0.11,government,0.112,international,0.129,stage,0.123,future,0.108,presence,0.115,activity,0.112,study,0.118,institutionally,0.121,venture,0.123,foreign,0.102,perspective,0.112,entry,0.112,ijv,0.117,financial,0.091,experimental,0.139,franchising,0.127,bear,0.088,discontinuity,0.104,maintenance,0.119,barner,0.126,local,0.098
14,dimension,0.103,investment,0.098,based,0.121,data,0.115,achievement,0.102,rosenzweig,0.115,decision,0.112,foreign,0.113,moderate,0.101,entrepreneurship,0.121,accessible,0.082,business,0.107,experiential,0.11,ofdi,0.117,study,0.087,leung,0.139,geringer,0.127,bee,0.088,operates,0.104,parkhe,0.119,boyacigiller,0.126,world,0.094
15,four,0.103,direct,0.092,develops,0.112,suggests,0.109,attracted,0.102,sharp,0.115,mnes,0.105,venture,0.092,effect,0.099,capability,0.117,arbitraging,0.082,shift,0.106,improve,0.11,market,0.113,performance,0.082,path,0.139,greenfield,0.127,bumble,0.088,space,0.104,robust,0.119,finnish,0.126,bargaining,0.092
16,question,0.103,achieve,0.082,internalization,0.104,relationship,0.103,cave,0.102,communication,0.101,present,0.105,diversification,0.091,service,0.093,theorising,0.114,assume,0.082,springboard,0.106,paradox,0.11,acquisition,0.111,non,0.076,pinpointing,0.139,hebert,0.127,expatriation,0.088,subjective,0.104,theorist,0.119,hypothesised,0.126,influence,0.088
17,firm,0.101,econometric,0.082,scholar,0.104,alpha,0.096,corresponding,0.102,composed,0.101,community,0.088,difference,0.087,environment,0.082,market,0.089,brownfields,0.082,choice,0.103,evidence,0.092,international,0.111,transition,0.076,precision,0.139,indigenous,0.127,spider,0.088,analysis,0.095,adaptation,0.105,rasmussen,0.126,business,0.079
18,resource,0.091,english,0.082,book,0.102,coefficient,0.096,golden,0.102,dependence,0.101,consumption,0.088,positive,0.087,experience,0.082,dynamic,0.088,commitment,0.082,home,0.103,model,0.085,china,0.105,determine,0.069,surrounding,0.139,industrial,0.127,staffing,0.088,research,0.095,argued,0.105,specifying,0.126,strategic,0.078
19,impact,0.086,equation,0.082,bound,0.102,contractor,0.096,hallmark,0.102,differentiated,0.101,deepening,0.088,joint,0.086,industry,0.082,knight,0.086,dragon,0.082,direct,0.099,tested,0.085,foreign,0.103,theoretical,0.068,implication,0.127,overlooked,0.127,emerging,0.086,country,0.09,delineate,0.105,utilising,0.126,flow,0.076
20,specific,0.086,estimation,0.082,incorporated,0.102,frequency,0.096,modelling,0.102,follow,0.101,differential,0.088,border,0.08,institution,0.082,mcdougall,0.086,efficiency,0.082,resource,0.099,country,0.081,cee,0.102,model,0.065,convergence,0.123,practical,0.127,control,0.083,firm,0.086,failed,0.105,agency,0.111,provides,0.076
21,accepted,0.081,fail,0.082,solution,0.102,hsu,0.096,modern,0.102,founding,0.101,finely,0.088,corruption,0.08,learning,0.082,mediating,0.086,footprint,0.082,export,0.093,company,0.079,ijvs,0.102,foreign,0.059,divergence,0.123,rival,0.127,global,0.078,characteristic,0.083,multilevel,0.105,bjorkman,0.111,base,0.069
22,admonition,0.081,free,0.082,transnational,0.102,initially,0.096,occurred,0.102,hrm,0.101,fitted,0.088,framework,0.076,organizational,0.082,oviatt,0.086,greenfields,0.082,venturing,0.093,researcher,0.079,theory,0.097,internalization,0.059,gibson,0.123,strategy,0.121,informal,0.078,include,0.083,systematically,0.105,compensation,0.111,birkinshaw,0.069
23,analogous,0.081,freedom,0.082,advantage,0.097,instrumental,0.096,predominates,0.102,influenced,0.101,formidable,0.088,culture,0.074,past,0.082,knowledge,0.085,hennart,0.082,activity,0.09,critical,0.075,study,0.095,empirical,0.058,innovative,0.123,market,0.116,alternative,0.07,multi,0.083,unified,0.105,comprehensive,0.111,configurational,0.069
24,congruent,0.081,given,0.082,governance,0.097,inverted,0.096,rationalization,0.102,japanese,0.101,ghauri,0.088,affect,0.072,business,0.078,role,0.085,implicitly,0.082,institutional,0.09,difference,0.075,perspective,0.093,analytical,0.057,novel,0.123,model,0.116,perceived,0.07,weakness,0.083,effectiveness,0.095,headquarters,0.111,heterarchy,0.069
25,fit,0.081,globerman,0.082,framework,0.091,kundu,0.096,reviewed,0.102,shaped,0.101,intention,0.088,business,0.068,national,0.077,field,0.082,interesting,0.082,foreign,0.088,based,0.074,state,0.093,artifact,0.057,rarely,0.123,extending,0.112,explored,0.065,business,0.079,emergence,0.095,interdependence,0.111,implementers,0.069
26,newman,0.081,ineffective,0.082,ass,0.09,linear,0.096,running,0.102,suggesting,0.101,intertwined,0.088,result,0.067,well,0.077,decade,0.079,match,0.082,internationalization,0.084,hypothesis,0.07,strategy,0.091,contingency,0.057,stimulate,0.123,feature,0.112,form,0.065,dunning,0.076,integrate,0.095,theory,0.104,independence,0.069
27,nollen,0.081,law,0.082,demonstrate,0.09,nine,0.096,steam,0.102,together,0.101,labour,0.088,psychic,0.064,international,0.074,phenomenon,0.079,owner,0.082,unique,0.084,show,0.067,ownership,0.089,extended,0.057,underlying,0.123,integrated,0.112,inc,0.065,particular,0.076,previous,0.095,chinese,0.1,corporation,0.066
28,plan,0.081,legislation,0.082,even,0.09,positivistic,0.096,think,0.102,canadian,0.091,led,0.088,step,0.064,abandonment,0.069,business,0.073,predict,0.082,market,0.08,two,0.067,capacity,0.088,outperform,0.057,avenue,0.111,licensing,0.112,reserved,0.065,unit,0.071,typology,0.095,explore,0.1,strong,0.066
29,program,0.081,minimum,0.082,integrated,0.09,proposes,0.096,western,0.102,closely,0.091,maker,0.088,expansion,0.062,additionally,0.069,foreign,0.072,reason,0.082,competitive,0.077,actually,0.062,tacit,0.088,whose,0.057,finally,0.111,presented,0.112,country,0.064,value,0.071,develops,0.087,managing,0.1,within,0.066
30,rogovsky,0.081,probability,0.082,necessary,0.09,realized,0.096,enterprise,0.098,expatriate,0.091,moral,0.088,find,0.062,announcement,0.069,future,0.069,traded,0.082,global,0.075,addressing,0.062,investment,0.087,advantage,0.055,state,0.111,special,0.112,study,0.064,activity,0.066,moderate,0.087,multinational,0.1,model,0.063
31,rome,0.081,regulation,0.082,rugman,0.09,return,0.096,age,0.09,force,0.091,optimum,0.088,value,0.062,dikova,0.069,journal,0.069,transactional,0.082,location,0.075,andersen,0.062,parent,0.082,effect,0.055,usefulness,0.111,subcontracting,0.112,practice,0.06,become,0.066,related,0.081,organisational,0.1,able,0.061
32,schuler,0.081,restricted,0.082,work,0.086,sigmoid,0.096,attempt,0.09,input,0.091,pace,0.088,acquisition,0.058,pre,0.069,accelerated,0.065,unilaterally,0.082,fdi,0.072,attempted,0.062,mnes,0.078,institutional,0.055,business,0.105,venturing,0.112,right,0.06,different,0.062,yet,0.081,complexity,0.092,considerable,0.061
33,spread,0.081,rooted,0.082,casson,0.081,slope,0.096,discipline,0.09,multinational,0.091,questioning,0.088,chinese,0.058,sahib,0.069,article,0.065,able,0.073,ownership,0.072,author,0.062,based,0.075,determinant,0.051,provides,0.102,analyzing,0.101,advancement,0.059,however,0.062,critical,0.071,corporate,0.092,determined,0.061
34,implication,0.074,security,0.082,entrepreneurial,0.081,speculative,0.096,final,0.09,parent,0.091,reaction,0.088,construct,0.058,shortens,0.069,formation,0.065,anderson,0.073,big,0.07,begin,0.062,political,0.075,different,0.051,international,0.101,casson,0.101,boundaryless,0.059,mechanism,0.062,framework,0.071,flow,0.092,embedded,0.061
35,answer,0.071,shapiro,0.082,fully,0.081,spite,0.096,globalization,0.09,revealed,0.091,run,0.088,host,0.058,taken,0.069,invs,0.065,assignment,0.073,grand,0.07,behavioral,0.062,direct,0.074,entering,0.051,enhance,0.095,draw,0.101,circumstance,0.059,multinational,0.062,characteristic,0.063,objective,0.092,context,0.059
36,asian,0.071,threshold,0.082,suggested,0.081,sullivan,0.096,growth,0.09,similarity,0.091,slicing,0.088,institutional,0.058,van,0.069,management,0.065,behind,0.073,lau,0.07,canada,0.062,level,0.074,institution,0.051,several,0.095,exporting,0.101,conventional,0.059,context,0.059,impact,0.063,risk,0.092,role,0.059
37,benefit,0.071,transacting,0.082,verbeke,0.081,three,0.093,intermediate,0.09,turn,0.091,sophisticated,0.088,mne,0.058,witteloostuijn,0.069,start,0.065,determined,0.073,ldcs,0.07,ceo,0.062,view,0.074,predicted,0.051,change,0.089,fully,0.101,personal,0.059,national,0.059,important,0.06,indicate,0.086,higher,0.055
38,competing,0.071,transparency,0.082,one,0.069,capital,0.085,note,0.09,european,0.084,uniquely,0.088,research,0.058,closer,0.06,team,0.065,enter,0.073,newly,0.07,challenged,0.062,absorptive,0.073,could,0.046,construct,0.089,measuring,0.101,reassessment,0.059,well,0.059,focus,0.057,part,0.086,lower,0.055
39,function,0.071,transparent,0.082,buckley,0.065,combination,0.085,restructuring,0.09,general,0.084,conflict,0.078,variable,0.058,distant,0.06,framework,0.064,explicitly,0.073,operate,0.07,component,0.062,explicit,0.073,location,0.046,discussed,0.089,much,0.101,scullion,0.059,specific,0.055,process,0.057,tested,0.086,multinational,0.055
40,looking,0.071,unlikely,0.082,environment,0.061,conceptual,0.085,tackle,0.09,internal,0.084,defined,0.078,country,0.055,feature,0.06,develop,0.063,freely,0.073,question,0.067,confirms,0.062,pressure,0.073,relationship,0.046,researcher,0.089,option,0.101,side,0.059,abruptly,0.052,analysis,0.054,extent,0.08,organisational,0.055
41,marketplace,0.071,analysis,0.075,however,0.061,content,0.085,firm,0.084,significantly,0.084,division,0.078,empirical,0.055,increase,0.06,theory,0.063,gain,0.073,research,0.064,delineates,0.062,also,0.07,influence,0.043,method,0.083,strength,0.101,socialization,0.059,acknowledging,0.052,research,0.054,system,0.08,structural,0.055
42,raise,0.071,broad,0.072,business,0.058,detrimental,0.085,casson,0.081,addition,0.078,lesson,0.078,environment,0.054,investigate,0.06,finding,0.062,gatignon,0.073,institution,0.063,easily,0.062,enterprise,0.07,better,0.042,recent,0.083,competition,0.093,transferee,0.059,added,0.052,,,found,0.075,behavior,0.051
43,status,0.071,effective,0.072,first,0.057,highlighting,0.085,considering,0.081,degree,0.073,linking,0.078,multinationals,0.054,relatively,0.06,resource,0.061,held,0.073,alliance,0.062,easy,0.062,performance,0.07,owned,0.042,used,0.083,economics,0.093,different,0.053,agglomeration,0.052,,,however,0.075,technology,0.051
44,worldwide,0.071,procedure,0.072,global,0.054,improves,0.085,crucial,0.081,extent,0.073,matrix,0.078,revisited,0.054,study,0.06,internationalisation,0.057,initial,0.073,creation,0.062,eriksson,0.062,value,0.07,statistical,0.042,first,0.078,insight,0.093,arrangement,0.052,allowing,0.052,,,control,0.071,also,0.047
45,category,0.065,promote,0.072,location,0.054,incorporates,0.085,identifies,0.081,strong,0.073,regional,0.078,theoretical,0.054,making,0.055,internationally,0.057,looking,0.073,exploitation,0.062,executive,0.062,home,0.064,wholly,0.042,issue,0.078,organization,0.093,communication,0.052,allows,0.052,,,role,0.071,analysis,0.047
46,determine,0.065,typically,0.072,specific,0.054,intensive,0.085,since,0.081,method,0.068,represent,0.078,approach,0.052,north,0.055,investigate,0.057,oli,0.073,external,0.062,falsification,0.062,managerial,0.064,finding,0.041,important,0.07,owned,0.093,effective,0.052,appeal,0.052,,,sample,0.071,mncs,0.044
47,employee,0.065,foreign,0.068,beacon,0.051,manufacturing,0.085,challenge,0.075,view,0.064,respond,0.078,control,0.051,subsequent,0.055,small,0.057,recognize,0.073,group,0.062,familiar,0.062,impact,0.062,strategy,0.041,approach,0.067,wholly,0.093,formal,0.052,article,0.052,,,manager,0.067,thus,0.044
48,five,0.065,attribute,0.065,buttress,0.051,seventy,0.085,traditional,0.075,show,0.061,subcontracting,0.078,analysis,0.05,variation,0.055,young,0.057,relative,0.073,industrialized,0.062,lane,0.062,theoretical,0.061,analysis,0.039,effect,0.067,international,0.092,group,0.052,asymmetry,0.052,,,support,0.067,type,0.044
49,higher,0.065,common,0.065,clarity,0.051,unified,0.085,area,0.069,specific,0.061,agenda,0.07,also,0.049,behavior,0.05,explanation,0.055,see,0.073,least,0.062,lisrel,0.062,ability,0.058,examined,0.039,process,0.067,examined,0.086,context,0.05,award,0.052,,,influence,0.063,argue,0.041
50,managing,0.065,often,0.065,compatible,0.051,theory,0.08,contrast,0.069,support,0.061,basis,0.07,among,0.049,political,0.05,contribution,0.052,shared,0.073,likely,0.062,majkgard,0.062,embeddedness,0.058,country,0.037,model,0.064,acquisition,0.081,manager,0.047,beugelsdijk,0.052,,,finding,0.06,different,0.041
51,seek,0.065,property,0.065,complement,0.051,american,0.077,identified,0.069,influence,0.058,capitalism,0.07,diversity,0.048,time,0.05,existing,0.052,target,0.073,moderated,0.062,modification,0.062,emes,0.058,acquisition,0.036,,,buckley,0.081,challenge,0.043,body,0.052,,,model,0.057,key,0.039
52,social,0.065,represents,0.065,continued,0.051,assumed,0.077,response,0.069,effect,0.055,changing,0.07,environmental,0.048,addition,0.047,method,0.052,country,0.072,motivation,0.062,ogrady,0.062,evolution,0.058,although,0.036,,,decision,0.081,complexity,0.043,carefully,0.052,,,foreign,0.052,level,0.039
53,variation,0.065,condition,0.06,contract,0.051,attribute,0.077,explanation,0.065,finding,0.055,complex,0.07,global,0.048,distance,0.047,potential,0.052,call,0.066,strategic,0.059,prescriptive,0.062,country,0.057,cultural,0.036,,,venture,0.081,human,0.043,credibility,0.052,,,based,0.05,literature,0.037
54,multinational,0.064,flow,0.06,contractual,0.051,collected,0.077,factor,0.065,country,0.05,examining,0.07,company,0.046,explain,0.047,proposition,0.052,category,0.066,capitalism,0.056,prevent,0.062,activity,0.056,developed,0.036,,,determinant,0.076,organization,0.043,directionality,0.052,,,,,support,0.037
55,developing,0.059,importance,0.06,core,0.051,five,0.077,host,0.065,study,0.05,explore,0.07,decision,0.046,find,0.047,model,0.049,emergence,0.066,eclectic,0.056,retail,0.062,host,0.056,economy,0.036,,,concept,0.067,survey,0.043,discrete,0.052,,,,,actor,0.035
56,european,0.059,nature,0.06,coupled,0.051,link,0.077,question,0.065,foreign,0.047,input,0.07,developed,0.046,part,0.047,building,0.047,evolution,0.066,intensity,0.056,seven,0.062,understanding,0.056,especially,0.036,,,literature,0.067,traditional,0.043,distinguishing,0.052,,,,,adopting,0.035
57,examined,0.055,second,0.06,criticism,0.051,optimal,0.077,researcher,0.065,based,0.045,leading,0.07,dimension,0.046,doi,0.044,form,0.047,optimal,0.066,largest,0.056,sharma,0.062,global,0.054,test,0.036,,,important,0.064,transfer,0.043,entrenched,0.052,,,,,aligned,0.035
58,one,0.055,statistical,0.06,empirical,0.051,positive,0.077,term,0.065,,,making,0.07,effect,0.043,economy,0.044,time,0.047,propose,0.066,major,0.056,shortcoming,0.062,importance,0.054,measure,0.034,,,approach,0.061,tung,0.043,fine,0.052,,,,,andersson,0.035
59,ownership,0.055,including,0.056,explained,0.051,property,0.077,investment,0.061,,,number,0.07,investment,0.043,jib,0.044,also,0.044,subsequent,0.066,paradigm,0.056,successfully,0.062,policy,0.054,organizational,0.034,,,performance,0.061,advance,0.04,flaw,0.052,,,,,augment,0.035
60,across,0.051,indicate,0.056,far,0.051,remains,0.077,past,0.061,,,option,0.07,learning,0.043,journal,0.044,important,0.044,uppsala,0.066,relationship,0.056,thirty,0.062,transfer,0.054,context,0.032,,,analysis,0.058,implication,0.04,grained,0.052,,,,,balancing,0.035
61,company,0.051,right,0.056,fast,0.051,revealed,0.077,recent,0.061,,,pattern,0.07,measure,0.043,stage,0.044,allow,0.043,consider,0.06,scholarship,0.056,though,0.062,data,0.052,control,0.032,,,theory,0.053,subsidiary,0.04,hope,0.052,,,,,brannen,0.035
62,discussed,0.051,term,0.052,good,0.051,shown,0.077,direct,0.057,,,subsequent,0.07,negative,0.043,test,0.044,cavusgil,0.043,requires,0.06,seeking,0.056,unstated,0.062,different,0.052,examines,0.032,,,based,0.05,way,0.04,insufficient,0.052,,,,,chain,0.035
63,extent,0.051,examines,0.046,grown,0.051,variable,0.077,economic,0.057,,,via,0.07,provide,0.043,data,0.041,contextualisation,0.043,risk,0.06,specific,0.056,effect,0.06,organizational,0.052,resource,0.032,,,business,0.048,company,0.037,intrinsic,0.052,,,,,competency,0.035
64,generally,0.051,first,0.046,informed,0.051,beyond,0.071,key,0.057,,,business,0.067,set,0.043,context,0.039,coviello,0.043,contrast,0.056,article,0.053,three,0.06,sale,0.051,sample,0.032,,,,,discus,0.037,locate,0.052,,,,,competitiveness,0.035
65,operation,0.051,result,0.044,known,0.051,scale,0.071,work,0.057,,,consequence,0.065,significant,0.043,economic,0.039,emergent,0.043,expansion,0.056,challenge,0.052,analysis,0.057,special,0.051,using,0.032,,,,,foreign,0.037,loved,0.052,,,,,configuration,0.035
66,understanding,0.051,two,0.044,leadership,0.051,statistical,0.071,literature,0.054,,,development,0.065,sample,0.041,hypothesis,0.039,establishment,0.043,internalization,0.056,condition,0.052,center,0.055,joint,0.05,impact,0.031,,,,,help,0.037,maintaining,0.052,,,,,configured,0.035
67,associated,0.048,important,0.041,misguided,0.051,validity,0.066,location,0.054,,,owned,0.065,strategic,0.041,using,0.039,exchange,0.043,acquisition,0.052,corporate,0.052,conclusion,0.055,economic,0.049,international,0.031,,,,,system,0.037,merit,0.052,,,,,confirmed,0.035
68,found,0.048,focus,0.039,moving,0.051,yet,0.066,article,0.051,,,policy,0.065,using,0.041,concept,0.037,founder,0.043,advantage,0.052,operating,0.052,criterion,0.055,effect,0.049,literature,0.031,,,,,argue,0.035,modified,0.052,,,,,connectedly,0.035
69,method,0.048,process,0.039,observed,0.051,construct,0.061,empirical,0.051,,,political,0.065,evidence,0.04,influence,0.035,inductive,0.043,doi,0.052,phenomenon,0.052,describe,0.055,agenda,0.047,result,0.031,,,,,difference,0.035,nachum,0.052,,,,,contributing,0.035
70,using,0.046,market,0.037,prong,0.051,discus,0.061,focus,0.049,,,wholly,0.065,importance,0.04,focus,0.033,medium,0.043,host,0.052,product,0.052,distant,0.055,central,0.047,show,0.031,,,,,many,0.035,offering,0.052,,,,,corroded,0.035
71,global,0.043,,,reasoning,0.051,factor,0.061,three,0.049,,,area,0.06,political,0.04,process,0.033,orientation,0.043,jib,0.052,risk,0.052,even,0.055,eastern,0.047,adapt,0.029,,,,,mechanism,0.035,open,0.052,,,,,creative,0.035
72,support,0.043,,,relevance,0.051,four,0.061,model,0.046,,,dynamic,0.06,time,0.04,based,0.027,oriented,0.043,journal,0.052,towards,0.052,follow,0.055,europe,0.047,adequacy,0.029,,,,,multinational,0.035,overlook,0.052,,,,,designed,0.035
73,article,0.041,,,schism,0.051,generally,0.061,foreign,0.042,,,fdi,0.06,impact,0.039,,,pluralist,0.043,operation,0.052,among,0.048,functioning,0.055,geographic,0.047,agarwal,0.029,,,,,organizational,0.035,oversimplify,0.052,,,,,dilemma,0.035
74,finding,0.039,,,school,0.051,greater,0.061,based,0.04,,,government,0.06,scholar,0.037,,,rapid,0.043,different,0.049,capability,0.048,johanson,0.055,relationship,0.047,agent,0.029,,,,,suggest,0.035,pay,0.052,,,,,empirical,0.035
75,focus,0.039,,,seen,0.051,mncs,0.061,,,,,including,0.06,association,0.036,,,remain,0.043,experience,0.049,discus,0.045,linking,0.055,mne,0.046,analyzes,0.029,,,,,used,0.035,placing,0.052,,,,,encourages,0.035
76,country,0.035,,,somewhat,0.051,test,0.061,,,,,joint,0.06,barkema,0.036,,,rialp,0.043,increasing,0.049,mne,0.045,manage,0.055,thus,0.046,beamish,0.029,,,,,resource,0.033,random,0.052,,,,,exercise,0.035
77,based,0.032,,,superb,0.051,difference,0.058,,,,,unit,0.06,choosing,0.036,,,understand,0.043,internationalization,0.049,argue,0.042,necessarily,0.055,contextual,0.044,centrally,0.029,,,,,strategic,0.033,recognizes,0.052,,,,,exploit,0.035
78,,,,,sustained,0.051,industry,0.058,,,,,across,0.056,comparing,0.036,,,jib,0.041,control,0.046,found,0.042,order,0.055,crossvergence,0.044,classified,0.029,,,,,view,0.033,redressing,0.052,,,,,externally,0.035
79,,,,,teece,0.051,measure,0.058,,,,,buckley,0.056,dutch,0.036,,,offer,0.041,view,0.046,industry,0.042,performed,0.055,entry,0.044,combined,0.029,,,,,concept,0.031,render,0.052,,,,,federation,0.035
80,,,,,transformational,0.051,recent,0.058,,,,,change,0.056,dyadic,0.036,,,performance,0.041,characteristic,0.044,suggest,0.042,previously,0.055,environment,0.044,conclusive,0.029,,,,,show,0.031,restoring,0.052,,,,,fold,0.035
81,,,,,useful,0.051,hypothesis,0.054,,,,,four,0.056,euclidean,0.036,,,perspective,0.041,location,0.044,sample,0.04,principle,0.055,escape,0.044,determining,0.029,,,,,article,0.03,scenario,0.052,,,,,forsgren,0.035
82,,,,,approach,0.049,knowledge,0.054,,,,,production,0.056,exploration,0.036,,,process,0.041,specific,0.044,impact,0.037,united,0.055,evolutionary,0.044,employed,0.029,,,,,academic,0.029,schomaker,0.052,,,,,fruitful,0.035
83,,,,,strategy,0.049,level,0.054,,,,,term,0.056,liability,0.036,,,question,0.041,two,0.044,important,0.036,foreign,0.052,influence,0.044,equivalence,0.029,,,,,acculturation,0.029,section,0.052,,,,,gained,0.035
84,,,,,ago,0.045,concept,0.051,,,,,thus,0.056,measured,0.036,,,strategy,0.041,enterprise,0.039,advent,0.035,theory,0.052,involvement,0.044,exposure,0.029,,,,,alongside,0.029,serious,0.052,,,,,generalizable,0.035
85,,,,,background,0.045,result,0.051,,,,,understanding,0.056,multidimensional,0.036,,,analysis,0.039,implication,0.038,aggressive,0.035,assumed,0.05,logic,0.044,extensively,0.029,,,,,altered,0.029,stemming,0.052,,,,,grounded,0.035
86,,,,,come,0.045,empirical,0.049,,,,,venture,0.056,outsidership,0.036,,,argue,0.039,study,0.036,aggressively,0.035,assumption,0.05,odi,0.044,generalize,0.029,,,,,aware,0.029,strengthen,0.052,,,,,hierarchy,0.035
87,,,,,complete,0.045,effect,0.046,,,,,institution,0.053,predictor,0.036,,,data,0.039,firm,0.034,arising,0.035,canadian,0.05,relational,0.044,generates,0.029,,,,,brewster,0.029,trace,0.052,,,,,holm,0.035
88,,,,,currently,0.045,analysis,0.044,,,,,control,0.05,stimulus,0.036,,,entry,0.039,theory,0.034,benischke,0.035,choose,0.05,russia,0.044,imperfect,0.029,,,,,collings,0.029,undeniable,0.052,,,,,implementer,0.035
89,,,,,differentiated,0.045,implication,0.044,,,,,examines,0.05,subunit,0.036,,,found,0.039,multinational,0.033,bruton,0.035,drawn,0.05,triad,0.044,inconsistent,0.029,,,,,commuter,0.029,undertake,0.052,,,,,implicit,0.035
90,,,,,distinction,0.045,research,0.044,,,,,issue,0.05,trade,0.036,,,mechanism,0.039,business,0.031,buying,0.035,identifies,0.05,need,0.043,ingredient,0.029,,,,,considers,0.029,vast,0.052,,,,,induced,0.035
91,,,,,extend,0.045,study,0.042,,,,,key,0.05,economy,0.035,,,organizational,0.039,international,0.03,cazurra,0.035,individual,0.05,rather,0.043,interested,0.029,,,,,continue,0.029,vista,0.052,,,,,managerialism,0.035
